,Symbol ,Company Name ,Industry ,Market Cap 
341,AOGO,Arogo Capital Acquisition,Shell Companies,46.72M
342,AOMR,Angel Oak Mortgage,REIT - Mortgage,210.87M
343,AON,Aon plc,Insurance Brokers,66.03B
344,AONC,American Oncology Network,Shell Companies,106.84M
345,AORT,Artivion,Medical Devices,635.71M
346,AOS,A. O. Smith,Specialty Industrial Machinery,10.42B
347,AOSL,Alpha and Omega Semiconductor,Semiconductors,819.83M
348,AOUT,American Outdoor Brands,Leisure,122.40M
349,AP,Ampco-Pittsburgh,Metal Fabrication,54.83M
350,APA,APA Corporation,Oil & Gas E&P,11.95B
351,APAC,StoneBridge Acquisition,Shell Companies,82.43M
352,APAM,Artisan Partners Asset Management,Asset Management,2.49B
353,APCA,AP Acquisition,Shell Companies,236.76M
354,APCX,AppTech Payments,Software - Infrastructure,55.20M
355,APD,Air Products and Chemicals,Specialty Chemicals,63.96B
356,APDN,Applied DNA Sciences,Diagnostics & Research,14.75M
357,APEI,American Public Education,Education & Training Services,85.49M
358,APG,APi Group,Engineering & Construction,6.27B
359,APGB,Apollo Strategic Growth Capital II,Shell Companies,372.50M
360,APGE,Apogee Therapeutics,Biotechnology,1.08B
361,APH,Amphenol,Electronic Components,49.78B
362,API,Agora,Software - Application,277.67M
363,APLD,Applied Digital,Capital Markets,575.61M
364,APLE,Apple Hospitality REIT,REIT - Hotel & Motel,3.53B
365,APLM,Apollomics,Biotechnology,234.40M
366,APLS,Apellis Pharmaceuticals,Biotechnology,5.23B
367,APLT,Applied Therapeutics,Biotechnology,146.45M
368,APM,Aptorum Group,Biotechnology,7.80M
369,APO,Apollo Global Management,Asset Management,50.89B
370,APOG,Apogee Enterprises,Building Products & Equipment,1.02B
371,APP,AppLovin,Software - Application,14.10B
372,APPF,AppFolio,Software - Application,6.85B
373,APPN,Appian,Software - Infrastructure,3.15B
374,APPS,Digital Turbine,Software - Application,589.03M
375,APRE,Aprea Therapeutics,Biotechnology,18.80M
376,APRN,Blue Apron Holdings,Internet Retail,83.06M
377,APT,Alpha Pro Tech,Building Products & Equipment,48.49M
378,APTM,Alpha Partners Technology Merger,Shell Companies,240.26M
379,APTO,Aptose Biosciences,Biotechnology,19.05M
380,APTV,Aptiv,Auto Parts,27.75B
381,APVO,Aptevo Therapeutics,Biotechnology,3.46M
382,APWC,Asia Pacific Wire & Cable Corporation,Electrical Equipment & Parts,29.07M
383,APXI,APx Acquisition I,Shell Companies,119.99M
384,APYX,Apyx Medical,Medical Devices,99.77M
385,AQB,AquaBounty Technologies,Farm Products,16.80M
386,AQMS,Aqua Metals,Waste Management,110.96M
387,AQN,Algonquin Power & Utilities,Utilities - Renewable,4.02B
388,AQST,Aquestive Therapeutics,Drug Manufacturers - Specialty & Generic,93.42M
389,AQU,Aquaron Acquisition,Shell Companies,48.35M
390,AR,Antero Resources,Oil & Gas E&P,8.15B
391,ARAV,Aravive,Biotechnology,8.36M
392,ARAY,Accuray,Medical Devices,282.04M
393,ARBB,ARB IOT Group,Information Technology Services,44.45M
394,ARBE,Arbe Robotics,Software - Infrastructure,175.16M
395,ARBK,Argo Blockchain,Capital Markets,54.07M
396,ARC,ARC Document Solutions,Specialty Business Services,129.70M
397,ARCB,ArcBest,Trucking,2.47B
398,ARCC,Ares Capital,Asset Management,10.72B
399,ARCE,Arco Platform,Education & Training Services,915.49M
400,ARCH,Arch Resources,Thermal Coal,2.87B
401,ARCO,Arcos Dorados Holdings,Restaurants,1.94B
402,ARCT,Arcturus Therapeutics Holdings,Biotechnology,659.64M
403,ARDX,Ardelyx,Biotechnology,901.95M
404,ARE,Alexandria Real Estate Equities,REIT - Office,17.38B
405,AREB,American Rebel Holdings,Footwear & Accessories,1.67M
406,AREC,American Resources,Coking Coal,136.09M
407,AREN,The Arena Group Holdings,Internet Content & Information,96.83M
408,ARES,Ares Management,Asset Management,33.58B
409,ARGO,Argo Group International Holdings,Insurance - Property & Casualty,1.05B
410,ARGX,argenx SE,Biotechnology,29.29B
411,ARHS,Arhaus,Home Improvement Retail,1.35B
412,ARI,Apollo Commercial Real Estate Finance,REIT - Mortgage,1.44B
413,ARIS,Aris Water Solutions,Utilities - Regulated Water,586.08M
414,ARIZ,Arisz Acquisition,Shell Companies,55.27M
415,ARKO,Arko Corp.,Specialty Retail,911.29M
416,ARKR,Ark Restaurants,Restaurants,54.46M
417,ARL,American Realty Investors,Real Estate - Development,236.30M
418,ARLO,Arlo Technologies,Security & Protection Services,900.11M
419,ARLP,"Alliance Resource Partners,",Thermal Coal,2.92B
420,ARM,Arm Holdings,Semiconductors,59.50B
421,ARMK,Aramark,Specialty Business Services,6.73B
422,ARMN,Aris Mining,Gold,320.35M
423,ARMP,Armata Pharmaceuticals,Biotechnology,84.90M
424,AROC,Archrock,Oil & Gas Equipment & Services,2.04B
425,AROW,Arrow Financial,Banks - Regional,301.10M
426,ARQQ,Arqit Quantum,Software - Infrastructure,71.29M
427,ARQT,Arcutis Biotherapeutics,Biotechnology,297.17M
428,ARR,ARMOUR Residential REIT,REIT - Mortgage,926.17M
429,ARRW,Arrowroot Acquisition,Shell Companies,121.92M
430,ARRY,Array Technologies,Solar,3.12B
431,ARTE,Artemis Strategic Investment,Shell Companies,76.15M
432,ARTL,Artelo Biosciences,Biotechnology,4.96M
433,ARTNA,Artesian Resources,Utilities - Regulated Water,439.65M
434,ARTW,Art's-Way Manufacturing Co.,Farm & Heavy Construction Machinery,12.14M
435,ARVL,Arrival,Auto Manufacturers,21.21M
436,ARVN,Arvinas,Biotechnology,1.05B
437,ARW,Arrow Electronics,Electronics & Computer Distribution,6.67B
